Iterations,Accuracy,TER,Precision,Recall,F1
1,0.8917212532554653,0.10827874674453475,0.8952332361536405,0.8917212532554653,0.8901354553581478
2,0.9152395233209691,0.08476047667903086,0.9172039481550595,0.9152395233209691,0.9145855969202636
3,0.9222634361928814,0.07773656380711857,0.923423715190855,0.9222634361928814,0.9219851975628065
4,0.9230526398863547,0.07694736011364534,0.9241578212920095,0.9230526398863547,0.922833702029094
5,0.928419225001973,0.07158077499802695,0.9293966339281522,0.928419225001973,0.9282701147541552
6,0.9295241101728356,0.07047588982716435,0.930257383066093,0.9295241101728356,0.9292638299553498
7,0.9289716675874043,0.07102833241259565,0.9297870138431005,0.9289716675874043,0.9288473587211715
8,0.9306289953436983,0.06937100465630175,0.9314866677533078,0.9306289953436983,0.930479090946946
9,0.9316549601452134,0.06834503985478657,0.9324606200777608,0.9316549601452134,0.9315305166287456
10,0.9336279693788967,0.0663720306211033,0.9344633778751128,0.9336279693788967,0.9335393992472553
11,0.9303133138663089,0.06968668613369111,0.9311112933804676,0.9303133138663089,0.9302149289799867
12,0.9329966064241181,0.06700339357588192,0.9336361404381602,0.9329966064241181,0.9328469781382343
13,0.9318917212532555,0.06810827874674452,0.9325650497133003,0.9318917212532555,0.9317323145322031
14,0.9335490490095494,0.06645095099045062,0.9341207088432827,0.9335490490095494,0.9334607757487289
15,0.933706889748244,0.066293110251756,0.934409054334508,0.933706889748244,0.9335514673594274
16,0.9323652434693395,0.06763475653066053,0.9329717935259815,0.9323652434693395,0.9322017339710078
17,0.934653934180412,0.06534606581958802,0.9353244607814787,0.934653934180412,0.9345397213250503
18,0.9321284823612974,0.06787151763870258,0.9326684651582382,0.9321284823612974,0.9320575886468625
19,0.9329176860547708,0.06708231394522923,0.9335793994181545,0.9329176860547708,0.9328525612990358
20,0.9335490490095494,0.06645095099045062,0.934122193171129,0.9335490490095494,0.9334601887623413
21,0.9316549601452134,0.06834503985478657,0.9322201335332817,0.9316549601452134,0.9315917253105129
22,0.9325230842080341,0.06747691579196591,0.9331519045935395,0.9325230842080341,0.9324107177252471
